GEOID,mail,youth,adult,latinx
6037125100,,7.07325925,4.581682482,4.741539908
6037123510,,4.378361293,4.006347202,5.243400477
6037224700,,26.77335589,3.581639759,14.42814658
6037265301,,25.29730882,6.790864645,68.07670057
6037123301,,7.338848852,6.548747099,7.719901357
6037265601,,5.488609579,4.561557279,4.648392875
6037265602,,8.112104476,7.091067212,10.27311925
6037115101,,3.645569114,5.314812312,6.964558551
6037115104,,10.01472457,5.550431485,6.940913708
6037274202,,3.419322978,6.006546865,6.517020369
6037123700,,3.620025969,5.301782537,6.741360841
6037123800,,3.037492328,5.334534701,5.974141809
6037123520,,3.272058824,4.243902439,5.545801527
6037265700,,5.180013502,5.401310531,5.797243841
6037293202,,5.698288562,8.896839237,9.757227734
6037127920,,3.584660099,5.191122327,6.506380661
6037192610,,14.76854994,10.33609601,11.0080392
6037192700,,11.38750773,9.117288273,9.404891421
6037128101,,6.72247506,6.225702845,6.791397543
6037204700,,7.169029663,9.713176816,11.12353778
6037203600,,13.03966006,13.81788424,16.10917827
6037189102,,6.645082082,5.110273987,4.528862319
6037189202,,4.031448471,6.590310985,6.369869683
6037181000,,3.595435701,4.807929291,5.254395506
6037183401,,10.16404059,7.949766748,7.908168045
6037183510,,9.720205428,10.32868909,10.90573868
6037199201,,7.420883286,7.735883193,8.66500927
6037188300,,8.026354745,8.543452169,8.352203166
6037190902,,15.08,9.923820066,10.78703985
6037208502,,5.583821168,12.06032752,13.23498739
6037208620,,4.570938472,9.672225541,10.57739162
6037123902,,19.36626191,4.586560524,5.189285513
6037191710,,3.913684177,8.792433978,8.589683388
6037191720,,7.649141005,7.717561058,7.971011641
6037191420,,7.310539739,9.809079523,9.6598535
6037124400,-1,2.269926538,3.855490082,4.921889666
6037212701,,12.6281373,5.129882426,6.818312625
6037980026,-1,3.72334621,7.621607057,9.318889204
6037101110,,12.406991,6.001780934,7.871013399
6037190801,,17.17602509,11.74818319,12.35045303
6037190802,,11.75186142,8.557273015,8.054387966
6037218120,,15.45944313,13.47324879,16.56740837
6037190700,,9.984051614,9.465404141,9.722179897
6037191000,,14.18051272,6.758690947,6.894191693
6037195500,,6.792264274,9.1889715,8.060512147
6037195600,,9.961907648,7.705777304,7.280004773
6037195803,,11.48615747,6.457321431,5.185349323
6037195804,,9.862143791,8.180171396,7.158649316
6037980009,,18.97205498,4.944220156,5.346802981
6037123206,,7.422803986,4.380093363,5.158508711
6037188202,,12.37719298,5.558809352,5.440828402
6037188201,,18.27439557,5.48546177,5.18945668
6037102107,,5.783205892,4.221337198,5.784952699
6037195201,,5.616084101,6.925127588,6.523752739
6037195202,,7.001752258,7.717968424,7.128496253
6037189300,,4.770648405,5.517391496,5.676379299
6037117405,,9.966153846,6.114198871,7.874607056
6037117407,,12.04697987,7.311688312,8.62147651
6037117510,,9.947555725,7.886861715,9.753315442
6037131800,,8.152658468,10.04888412,11.84603205
6037229200,,6.689614859,11.03363054,14.38989359
6037190510,,9.698040167,7.225484926,7.19416181
6037127711,,9.449040996,7.338667881,8.672109736
6037128302,,6.346983005,4.913420764,5.774395158
6037192420,,9.623116335,6.590679208,6.788973417
6037192510,,11.40339104,9.146597367,10.61592906
6037128400,,3.273244354,3.97527887,4.086990606
6037980024,,4.372134941,3.250593746,2.944721317
6037137501,,5.119697597,6.264140638,7.142672071
6037139402,,3.944209016,8.171335519,9.89055458
6037191120,,11.57611726,8.975557051,9.644933494
6037191620,,18.35582512,8.129974886,8.56075469
6037181300,,5.543508947,6.832768091,7.658953905
6037128601,,5.412662241,4.38906977,4.658848245
6037132001,,5.720277164,6.874240496,8.302116281
